   7.53511   7.52979   7.53140   7.47642   7.47853   7.47006   7.30300   7.22856
   7.52926   7.52380   7.52626   7.47119   7.47292   7.46391   7.29766   7.22349
   7.52597   7.52110   7.52415   7.46886   7.47020   7.46100   7.29532   7.22118
   7.52461   7.52015   7.52317   7.46802   7.46952   7.45982   7.29333   7.22064
   7.52645   7.52258   7.52547   7.47064   7.47172   7.46148   7.29626   7.22361
   7.52755   7.52371   7.52690   7.47196   7.47320   7.46238   7.29859   7.22487
   7.52916   7.52505   7.52924   7.47406   7.47503   7.46358   7.30052   7.22706
   7.53482   7.53024   7.53476   7.47950   7.48042   7.46872   7.30727   7.23210
   7.54113   7.53661   7.54129   7.48625   7.48703   7.47489   7.32064   7.23840
   7.54630   7.54102   7.54625   7.49145   7.49202   7.47942   7.32330   7.24322
   7.54713   7.54224   7.54746   7.49314   7.49353   7.48076   7.32478   7.24448
   7.55532   7.55011   7.55547   7.50143   7.50180   7.48876   7.33302   7.25185
   7.56231   7.55711   7.56318   7.50887   7.50937   7.49255   7.33947   7.25918
   7.56829   7.56267   7.56973   7.51545   7.51560   7.49823   7.34478   7.26414
   7.57389   7.56819   7.57516   7.52145   7.52134   7.50345   7.35238   7.26947
   7.58044   7.57456   7.58222   7.52878   7.52835   7.50953   7.35866   7.27597
   7.58846   7.58266   7.59090   7.53812   7.53709   7.51726   7.36690   7.28454
   7.59595   7.58992   7.59909   7.54641   7.54481   7.52369   7.37399   7.29094
   7.60295   7.59774   7.60760   7.55472   7.55275   7.53080   7.39326   7.29879
   7.60616   7.60180   7.61236   7.55991   7.55714   7.53433   7.39668   7.30243
   7.61547   7.61205   7.62276   7.57087   7.56757   7.54364   7.40683   7.31191
   7.62385   7.62097   7.63308   7.58056   7.57648   7.55151   7.41478   7.32063
   7.63063   7.62838   7.64151   7.58924   7.58414   7.55590   7.42351   7.32821
   7.63859   7.63654   7.65106   7.59878   7.59313   7.56376   7.43138   7.33600
   7.64375   7.64218   7.65874   7.60518   7.59941   7.56877   7.43793   7.34149
   7.59747   7.59675   7.61422   7.56093   7.55440   7.52335   7.39443   7.29725
   7.63132   7.63138   7.64981   7.59615   7.58945   7.55751   7.42934   7.33022
   7.66188   7.66191   7.68123   7.62784   7.62048   7.58767   7.45931   7.35885
   7.69012   7.68974   7.70978   7.65582   7.64852   7.61473   7.49629   7.38434
   7.72425   7.72322   7.74362   7.68989   7.68215   7.64768   7.52901   7.41600
   7.74614   7.74490   7.76507   7.71168   7.70389   7.66894   7.55082   7.43611
   7.77598   7.77470   7.79468   7.74122   7.73326   7.69794   7.57921   7.46302
   7.80224   7.80092   7.82118   7.76629   7.75943   7.72394   7.60530   7.48754
   7.82812   7.82609   7.84728   7.79219   7.78473   7.74902   7.63085   7.51084
   7.84921   7.84617   7.86602   7.81260   7.80542   7.76945   7.65049   7.52886
   7.86137   7.85776   7.87762   7.82380   7.81703   7.78121   7.66134   7.53862
   7.87637   7.87197   7.89159   7.83776   7.83163   7.79559   7.67557   7.55071
   7.89195   7.88588   7.90541   7.85194   7.84585   7.80960   7.68860   7.56326
   7.90115   7.89451   7.91356   7.85942   7.85438   7.81794   7.69669   7.56946
   7.91062   7.90345   7.92195   7.86801   7.86339   7.82703   7.70525   7.57669
   7.92041   7.91311   7.93064   7.87716   7.87236   7.83615   7.71340   7.58407
