1 1 9 0    14218    14228
1 1 9 0    28271    14053
1 1 9 0    42324    14053
0 1 9 0    56378    14054
1 1 9 0    70432    14054
1 1 9 0    84484    14052
0 1 9 0    98539    14055
1 1 9 0   112593    14054
0 1 9 0   126646    14053
1 1 9 0   140699    14053
0 1 9 0   154753    14054
0 1 9 0   168806    14053
0 1 9 0   182859    14053
0 1 9 0   196913    14054
0 1 9 0   210967    14054
0 1 9 0   225020    14053
1 1 9 0   239073    14053
0 1 9 0   253127    14054
0 1 9 0   267181    14054
0 1 9 0   281234    14053
0 1 9 0   295287    14053
1 1 9 0   309341    14054
0 1 9 0   323395    14054
0 1 9 0   337449    14054
1 1 9 0   351502    14053
0 1 9 0   365557    14055
0 1 9 0   379611    14054
0 1 9 0   393664    14053
1 1 9 0   407718    14054
0 1 9 0   421772    14054
0 1 9 0   435826    14054
1 1 9 0   449880    14054
1 1 9 0   463935    14055
1 1 9 0   477990    14055
0 1 9 0   492042    14052
0 1 9 0   506096    14054
1 1 9 0   520150    14054
1 1 9 0   534204    14054
0 1 9 0   548257    14053
1 1 9 0   562311    14054
1 1 9 0   576366    14055
1 1 9 0   590420    14054
1 1 9 0   604473    14053
0 1 9 0   618526    14053
0 1 9 0   632580    14054
0 1 9 0   646634    14054
0 1 9 0   660688    14054
1 1 9 0   674742    14054
0 1 9 0   688796    14054
1 1 9 0   702849    14053
0 1 9 0   716904    14055
0 1 9 0   730958    14054
1 1 9 0   745012    14054
0 1 9 0   759065    14053
0 1 9 0   773119    14054
0 1 9 0   787173    14054
1 1 9 0   801228    14055
1 1 9 0   815282    14054
1 1 9 0   829335    14053
0 1 9 0   843389    14054
0 1 9 0   857442    14053
1 1 9 0   871496    14054
1 1 9 0   885550    14054
1 1 9 0   899604    14054
0 1 9 0   913657    14053
0 1 9 0   927711    14054
1 1 9 0   941765    14054
1 1 9 0   955818    14053
1 1 9 0   969872    14054
1 1 9 0   983926    14054
0 1 9 0   997979    14053
1 1 9 0  1012033    14054
0 1 9 0  1026087    14054
0 1 9 0  1040140    14053
0 1 9 0  1054193    14053
1 1 9 0  1068247    14054
0 1 9 0  1082301    14054
0 1 9 0  1096354    14053
0 1 9 0  1110408    14054
0 1 9 0  1124461    14053
0 1 9 0  1138515    14054
1 1 9 0  1152568    14053
1 1 9 0  1166622    14054
0 1 9 0  1180675    14053
0 1 9 0  1194730    14055
0 1 9 0  1208782    14052
1 1 9 0  1222836    14054
1 1 9 0  1236889    14053
0 1 9 0  1250942    14053
1 1 9 0  1264996    14054
1 1 9 0  1279050    14054
1 1 9 0  1293103    14053
1 1 9 0  1307156    14053
1 1 9 0  1321210    14054
1 1 9 0  1335263    14053
0 1 9 0  1349317    14054
1 1 9 0  1363370    14053
0 1 9 0  1377423    14053
1 1 9 0  1391479    14056
1 1 9 0  1405531    14052
0 1 9 0  1419584    14053
1 1 9 0  1433638    14054
0 1 9 0  1447692    14054
1 1 9 0  1461745    14053
1 1 9 0  1475798    14053
0 1 9 0  1489852    14054
0 1 9 0  1503905    14053
0 1 9 0  1517958    14053
1 1 9 0  1532013    14055
0 1 9 0  1546065    14052
0 1 9 0  1560119    14054
1 1 9 0  1574172    14053
1 1 9 0  1588227    14055
0 1 9 0  1602279    14052
0 1 9 0  1616332    14053
1 1 9 0  1630385    14053
1 1 9 0  1644439    14054
1 1 9 0  1658492    14053
0 1 9 0  1672545    14053
1 1 9 0  1686599    14054
0 1 9 0  1700652    14053
0 1 9 0  1714705    14053
1 1 9 0  1728758    14053
0 1 9 0  1742812    14054
1 1 9 0  1756865    14053
0 1 9 0  1770918    14053
1 1 9 0  1784971    14053
0 1 9 0  1799025    14054
0 1 9 0  1813079    14054
1 1 9 0  1827131    14052
0 1 9 0  1841186    14055
0 1 9 0  1855239    14053
1 1 9 0  1869292    14053
1 1 9 0  1883345    14053
1 1 9 0  1897399    14054
1 1 9 0  1911452    14053
1 1 9 0  1925505    14053
0 1 9 0  1939558    14053
0 1 9 0  1953613    14055
1 1 9 0  1967666    14053
1 1 9 0  1981719    14053
1 1 9 0  1995772    14053
0 1 9 0  2009826    14054
0 1 9 0  2023880    14054
1 1 9 0  2037932    14052
0 1 9 0  2051987    14055
0 1 9 0  2066040    14053
0 1 9 0  2080093    14053
1 1 9 0  2094146    14053
0 1 9 0  2108200    14054
0 1 9 0  2122253    14053
0 1 9 0  2136306    14053
0 1 9 0  2150359    14053
1 1 9 0  2164413    14054
0 1 9 0  2178466    14053
1 1 9 0  2192521    14055
0 1 9 0  2206574    14053
1 1 9 0  2220628    14054
0 1 9 0  2234682    14054
1 1 9 0  2248735    14053
1 1 9 0  2262789    14054
0 1 9 0  2276843    14054
0 1 9 0  2290896    14053
0 1 9 0  2304951    14055
1 1 9 0  2319003    14052
0 1 9 0  2333057    14054
0 1 9 0  2347110    14053
1 1 9 0  2361165    14055
0 1 9 0  2375218    14053
1 1 9 0  2389272    14054
0 1 9 0  2403325    14053
1 1 9 0  2417379    14054
1 1 9 0  2431433    14054
1 1 9 0  2445486    14053
1 1 9 0  2459540    14054
1 1 9 0  2473594    14054
0 1 9 0  2487647    14053
0 1 9 0  2501701    14054
0 1 9 0  2515754    14053
0 1 9 0  2529808    14054
1 1 9 0  2543861    14053
0 1 9 0  2557914    14053
1 1 9 0  2571969    14055
0 1 9 0  2586021    14052
0 1 9 0  2600075    14054
1 1 9 0  2614128    14053
0 1 9 0  2628182    14054
0 1 9 0  2642236    14054
0 1 9 0  2656289    14053
1 1 9 0  2670343    14054
0 1 9 0  2684397    14054
0 1 9 0  2698450    14053
1 1 9 0  2712505    14055
1 1 9 0  2726558    14053
1 1 9 0  2740611    14053
0 1 9 0  2754665    14054
1 1 9 0  2768719    14054
0 1 9 0  2782772    14053
0 1 9 0  2796824    14052
1 1 9 0  2810878    14054
1 1 9 0  2824931    14053
1 1 9 0  2838984    14053
1 1 9 0  2853038    14054
0 1 9 0  2867092    14054
1 1 9 0  2881146    14054
0 1 9 0  2895199    14053
0 1 9 0  2909252    14053
0 1 9 0  2923306    14054
1 1 9 0  2937359    14053
0 1 9 0  2951412    14053
1 1 9 0  2965465    14053
0 1 9 0  2979519    14054
0 1 9 0  2993573    14054
1 1 9 0  3007625    14052
0 1 9 0  3021679    14054
0 1 9 0  3035732    14053
1 1 9 0  3049787    14055
1 1 9 0  3063838    14051
1 1 9 0  3077892    14054
0 1 9 0  3091945    14053
1 1 9 0  3105998    14053
0 1 9 0  3120052    14054
1 1 9 0  3134106    14054
1 1 9 0  3148159    14053
1 1 9 0  3162212    14053
1 1 9 0  3176265    14053
1 1 9 0  3190319    14054
1 1 9 0  3204372    14053
0 1 9 0  3218425    14053
1 1 9 0  3232478    14053
1 1 9 0  3246532    14054
0 1 9 0  3260585    14053
1 1 9 0  3274638    14053
0 1 9 0  3288692    14054
0 1 9 0  3302744    14052
0 1 9 0  3316797    14053
0 1 9 0  3330851    14054
1 1 9 0  3344904    14053
0 1 9 0  3358957    14053
0 1 9 0  3373010    14053
1 1 9 0  3387063    14053
1 1 9 0  3401117    14054
0 1 9 0  3415169    14052
1 1 9 0  3429222    14053
1 1 9 0  3443275    14053
1 1 9 0  3457328    14053
0 1 9 0  3471381    14053
0 1 9 0  3485435    14054
1 1 9 0  3499489    14054
1 1 9 0  3513543    14054
0 1 9 0  3527596    14053
0 1 9 0  3541650    14054
0 1 9 0  3555703    14053
1 1 9 0  3569756    14053
1 1 9 0  3583810    14054
1 1 9 0  3597864    14054
1 1 9 0  3611917    14053
1 1 9 0  3625970    14053
1 1 9 0  3640024    14054
0 1 9 0  3654077    14053
0 1 9 0  3668130    14053
1 1 9 0  3682183    14053
1 1 9 0  3696237    14054
0 1 9 0  3710290    14053
0 1 9 0  3724344    14054
1 1 9 0  3738397    14053
0 1 9 0  3752450    14053
0 1 9 0  3766504    14054
1 1 9 0  3780556    14052
1 1 9 0  3794610    14054
1 1 9 0  3808665    14055
1 1 9 0  3822717    14052
0 1 9 0  3836770    14053
0 1 9 0  3850824    14054
0 1 9 0  3864878    14054
0 1 9 0  3878931    14053
1 1 9 0  3892985    14054
0 1 9 0  3907039    14054
0 1 9 0  3921093    14054
1 1 9 0  3935145    14052
0 1 9 0  3949199    14054
1 1 9 0  3963252    14053
1 1 9 0  3977305    14053
1 1 9 0  3991359    14054
1 1 9 0  4005413    14054
1 1 9 0  4019467    14054
0 1 9 0  4033519    14052
0 1 9 0  4047572    14053
0 1 9 0  4061626    14054
1 1 9 0  4075679    14053
0 1 9 0  4089732    14053
1 1 9 0  4103786    14054
1 1 9 0  4117839    14053
0 1 9 0  4131893    14054
0 1 9 0  4145945    14052
1 1 9 0  4160000    14055
1 1 9 0  4174053    14053
1 1 9 0  4188106    14053
0 1 9 0  4202160    14054
0 1 9 0  4216213    14053
0 1 9 0  4230267    14054
1 1 9 0  4244319    14052
1 1 9 0  4258372    14053
1 1 9 0  4272426    14054
1 1 9 0  4286479    14053
0 1 9 0  4300532    14053
1 1 9 0  4314585    14053
0 1 9 0  4328638    14053
0 1 9 0  4342691    14053
0 1 9 0  4356744    14053
1 1 9 0  4370797    14053
1 1 9 0  4384850    14053
1 1 9 0  4398903    14053
0 1 9 0  4412957    14054
1 1 9 0  4427010    14053
1 1 9 0  4441064    14054
1 1 9 0  4455116    14052
0 1 9 0  4469169    14053
0 1 9 0  4483222    14053
0 1 9 0  4497275    14053
0 1 9 0  4511328    14053
0 1 9 0  4525382    14054
0 1 9 0  4539435    14053
0 1 9 0  4553487    14052
1 1 9 0  4567541    14054
1 1 9 0  4581594    14053
1 1 9 0  4595647    14053
1 1 9 0  4609700    14053
1 1 9 0  4623754    14054
1 1 9 0  4637807    14053
0 1 9 0  4651860    14053
0 1 9 0  4665914    14054
0 1 9 0  4679967    14053
0 1 9 0  4694020    14053
1 1 9 0  4708073    14053
0 1 9 0  4722126    14053
1 1 9 0  4736179    14053
0 1 9 0  4750233    14054
0 1 9 0  4764285    14052
0 1 9 0  4778338    14053
1 1 9 0  4792391    14053
0 1 9 0  4806444    14053
0 1 9 0  4820498    14054
0 1 9 0  4834552    14054
1 1 9 0  4848604    14052
0 1 9 0  4862658    14054
0 1 9 0  4876711    14053
1 1 9 0  4890764    14053
0 1 9 0  4904817    14053
0 1 9 0  4918871    14054
1 1 9 0  4932926    14055
0 1 9 0  4946978    14052
0 1 9 0  4961032    14054
1 1 9 0  4975084    14052
1 1 9 0  4989138    14054
1 1 9 0  5003191    14053
1 1 9 0  5017244    14053
0 1 9 0  5031298    14054
1 1 9 0  5045352    14054
1 1 9 0  5059404    14052
0 1 9 0  5073457    14053
1 1 9 0  5087511    14054
0 1 9 0  5101564    14053
1 1 9 0  5115617    14053
0 1 9 0  5129670    14053
1 1 9 0  5143724    14054
0 1 9 0  5157777    14053
0 1 9 0  5171830    14053
0 1 9 0  5185883    14053
0 1 9 0  5199936    14053
0 1 9 0  5213988    14052
0 1 9 0  5228041    14053
0 1 9 0  5242095    14054
0 1 9 0  5256148    14053
1 1 9 0  5270202    14054
0 1 9 0  5284254    14052
1 1 9 0  5298308    14054
1 1 9 0  5312360    14052
1 1 9 0  5326413    14053
0 1 9 0  5340467    14054
0 1 9 0  5354521    14054
0 1 9 0  5368573    14052
1 1 9 0  5382627    14054
0 1 9 0  5396680    14053
0 1 9 0  5410733    14053
0 1 9 0  5424785    14052
0 1 9 0  5438839    14054
1 1 9 0  5452893    14054
1 1 9 0  5466945    14052
1 1 9 0  5480999    14054
0 1 9 0  5495053    14054
0 1 9 0  5509106    14053
0 1 9 0  5523157    14051
0 1 9 0  5537210    14053
1 1 9 0  5551264    14054
1 1 9 0  5565316    14052
1 1 9 0  5579368    14052
1 1 9 0  5593422    14054
1 1 9 0  5607475    14053
0 1 9 0  5621527    14052
0 1 9 0  5635580    14053
0 1 9 0  5649633    14053
0 1 9 0  5663686    14053
1 1 9 0  5677739    14053
0 1 9 0  5691792    14053
1 1 9 0  5705845    14053
1 1 9 0  5719898    14053
1 1 9 0  5733951    14053
0 1 9 0  5748003    14052
0 1 9 0  5762056    14053
0 1 9 0  5776110    14054
0 1 9 0  5790163    14053
0 1 9 0  5804215    14052
1 1 9 0  5818268    14053
1 1 9 0  5832321    14053
0 1 9 0  5846375    14054
0 1 9 0  5860428    14053
1 1 9 0  5874480    14052
0 1 9 0  5888533    14053
1 1 9 0  5902586    14053
0 1 9 0  5916639    14053
0 1 9 0  5930692    14053
1 1 9 0  5944745    14053
1 1 9 0  5958798    14053
1 1 9 0  5972851    14053
1 1 9 0  5986904    14053
1 1 9 0  6000957    14053
1 1 9 0  6015010    14053
0 1 9 0  6029063    14053
0 1 9 0  6043116    14053
0 1 9 0  6057170    14054
1 1 9 0  6071222    14052
0 1 9 0  6085274    14052
1 1 9 0  6099327    14053
0 1 9 0  6113381    14054
1 1 9 0  6127433    14052
1 1 9 0  6141487    14054
1 1 9 0  6155541    14054
0 1 9 0  6169594    14053
1 1 9 0  6183646    14052
0 1 9 0  6197700    14054
1 1 9 0  6211753    14053
0 1 9 0  6225805    14052
1 1 9 0  6239858    14053
0 1 9 0  6253912    14054
1 1 9 0  6267965    14053
0 1 9 0  6282018    14053
0 1 9 0  6296071    14053
1 1 9 0  6310125    14054
0 1 9 0  6324177    14052
0 1 9 0  6338230    14053
0 1 9 0  6352283    14053
1 1 9 0  6366337    14054
1 1 9 0  6380390    14053
0 1 9 0  6394443    14053
0 1 9 0  6408496    14053
1 1 9 0  6422549    14053
1 1 9 0  6436602    14053
0 1 9 0  6450655    14053
1 1 9 0  6464709    14054
1 1 9 0  6478764    14055
0 1 9 0  6492815    14051
0 1 9 0  6506869    14054
0 1 9 0  6520922    14053
0 1 9 0  6534976    14054
0 1 9 0  6549029    14053
0 1 9 0  6563082    14053
1 1 9 0  6577136    14054
0 1 9 0  6591189    14053
0 1 9 0  6605242    14053
0 1 9 0  6619296    14054
1 1 9 0  6633349    14053
0 1 9 0  6647404    14055
0 1 9 0  6661456    14052
1 1 9 0  6675510    14054
1 1 9 0  6689564    14054
1 1 9 0  6703616    14052
1 1 9 0  6717670    14054
1 1 9 0  6731724    14054
0 1 9 0  6745777    14053
0 1 9 0  6759831    14054
0 1 9 0  6773884    14053
1 1 9 0  6787938    14054
0 1 9 0  6801991    14053
1 1 9 0  6816045    14054
0 1 9 0  6830100    14055
0 1 9 0  6844153    14053
1 1 9 0  6858207    14054
1 1 9 0  6872261    14054
0 1 9 0  6886315    14054
1 1 9 0  6900369    14054
0 1 9 0  6914423    14054
1 1 9 0  6928477    14054
0 1 9 0  6942531    14054
0 1 9 0  6956585    14054
1 1 9 0  6970639    14054
0 1 9 0  6984693    14054
1 1 9 0  6998747    14054
0 1 9 0  7012800    14053
1 1 9 0  7026855    14055
0 1 9 0  7040909    14054
0 1 9 0  7054963    14054
0 1 9 0  7069017    14054
1 1 9 0  7083071    14054
1 1 9 0  7097125    14054
0 1 9 0  7111180    14055
1 1 9 0  7125234    14054
0 1 9 0  7139287    14053
1 1 9 0  7153341    14054
1 1 9 0  7167394    14053
0 1 9 0  7181449    14055
1 1 9 0  7195503    14054
0 1 9 0  7209558    14055
0 1 9 0  7223612    14054
1 1 9 0  7237666    14054
0 1 9 0  7251720    14054
0 1 9 0  7265774    14054
1 1 9 0  7279828    14054
0 1 9 0  7293883    14055
0 1 9 0  7307936    14053
0 1 9 0  7321990    14054
1 1 9 0  7336045    14055
1 1 9 0  7350100    14055
0 1 9 0  7364152    14052
0 1 9 0  7378206    14054
1 1 9 0  7392260    14054
0 1 9 0  7406314    14054
1 1 9 0  7420368    14054
0 1 9 0  7434422    14054
1 1 9 0  7448476    14054
0 1 9 0  7462530    14054
0 1 9 0  7476583    14053
1 1 9 0  7490638    14055
1 1 9 0  7504691    14053
0 1 9 0  7518744    14053
0 1 9 0  7532798    14054
0 1 9 0  7546852    14054
0 1 9 0  7560906    14054
0 1 9 0  7574958    14052
0 1 9 0  7589013    14055
1 1 9 0  7603066    14053
0 1 9 0  7617119    14053
0 1 9 0  7631173    14054
1 1 9 0  7645227    14054
1 1 9 0  7659282    14055
1 1 9 0  7673336    14054
0 1 9 0  7687388    14052
1 1 9 0  7701442    14054
0 1 9 0  7715496    14054
0 1 9 0  7729549    14053
0 1 9 0  7743604    14055
1 1 9 0  7757658    14054
0 1 9 0  7771711    14053
1 1 9 0  7785764    14053
1 1 9 0  7799819    14055
1 1 9 0  7813872    14053
0 1 9 0  7827926    14054
1 1 9 0  7841980    14054
0 1 9 0  7856034    14054
0 1 9 0  7870088    14054
1 1 9 0  7884141    14053
1 1 9 0  7898195    14054
0 1 9 0  7912248    14053
0 1 9 0  7926302    14054
1 1 9 0  7940355    14053
0 1 9 0  7954409    14054
0 1 9 0  7968462    14053
1 1 9 0  7982516    14054
1 1 9 0  7996569    14053
1 1 9 0  8010623    14054
1 1 9 0  8024677    14054
0 1 9 0  8038729    14052
1 1 9 0  8052782    14053
1 1 9 0  8066837    14055
1 1 9 0  8080889    14052
1 1 9 0  8094942    14053
0 1 9 0  8108996    14054
1 1 9 0  8123049    14053
1 1 9 0  8137101    14052
1 1 9 0  8151155    14054
0 1 9 0  8165209    14054
1 1 9 0  8179263    14054
1 1 9 0  8193314    14051
1 1 9 0  8207368    14054
1 1 9 0  8221421    14053
0 1 9 0  8235474    14053
0 1 9 0  8249528    14054
0 1 9 0  8263581    14053
1 1 9 0  8277634    14053
0 1 9 0  8291687    14053
1 1 9 0  8305740    14053
1 1 9 0  8319794    14054
1 1 9 0  8333847    14053
0 1 9 0  8347900    14053
1 1 9 0  8361954    14054
1 1 9 0  8376008    14054
1 1 9 0  8390061    14053
1 1 9 0  8404113    14052
0 1 9 0  8418167    14054
1 1 9 0  8432220    14053
0 1 9 0  8446273    14053
1 1 9 0  8460326    14053
0 1 9 0  8474380    14054
1 1 9 0  8488432    14052
1 1 9 0  8502485    14053
1 1 9 0  8516538    14053
0 1 9 0  8530592    14054
0 1 9 0  8544644    14052
0 1 9 0  8558698    14054
1 1 9 0  8572751    14053
1 1 9 0  8586805    14054
