 2000.05.03.19.24.39.013   -27    0.029 
 2000.05.03.19.24.51.223   -26    0.028 
 2000.05.03.19.25.03.413   -25    0.028 
 2000.05.03.19.25.15.613   -24    0.028 
 2000.05.03.19.25.27.803   -23    0.028 
 2000.05.03.19.25.39.973   -22    0.028 
 2000.05.03.19.25.52.153   -21    0.028 
 2000.05.03.19.26.04.353   -20    0.029 
 2000.05.03.19.26.16.544   -19    0.029 
 2000.05.03.19.26.28.723   -18    0.029 
 2000.05.03.19.26.40.905   -17    0.029 
 2000.05.03.19.26.53.073   -16    0.030 
 2000.05.03.19.27.05.253   -15    0.031 
 2000.05.03.19.27.17.423   -14    0.031 
 2000.05.03.19.27.29.603   -13    0.031 
 2000.05.03.19.27.41.771   -12    0.031 
 2000.05.03.19.27.53.933   -11    0.031 
 2000.05.03.19.28.06.113   -10    0.032 
 2000.05.03.19.28.18.293    -9    0.032 
 2000.05.03.19.28.30.463    -8    0.032 
 2000.05.03.19.28.42.653    -7    0.036 
 2000.05.03.19.28.54.843    -6    0.046 
 2000.05.03.19.29.07.006    -5    0.069 
 2000.05.03.19.29.19.175    -4    0.106 
 2000.05.03.19.29.31.403    -3    0.174 
 2000.05.03.19.29.43.583    -2    0.257 
 2000.05.03.19.29.55.753    -1    0.346 
 2000.05.03.19.30.07.923     0    0.432 
 2000.05.03.19.30.20.093     1    0.496 
 2000.05.03.19.30.32.286     2    0.535 
 2000.05.03.19.30.44.453     3    0.559 
 2000.05.03.19.30.56.643     4    0.578 
 2000.05.03.19.31.08.823     5    0.589 
 2000.05.03.19.31.20.983     6    0.603 
 2000.05.03.19.31.33.163     7    0.615 
 2000.05.03.19.31.45.343     8    0.635 
 2000.05.03.19.31.57.523     9    0.667 
 2000.05.03.19.32.09.703    10    0.707 
 2000.05.03.19.32.21.883    11    0.731 
 2000.05.03.19.32.34.043    12    0.734 
 2000.05.03.19.32.46.214    13    0.734 
 2000.05.03.19.32.58.403    14    0.730 
 2000.05.03.19.33.10.574    15    0.714 
 2000.05.03.19.33.22.773    16    0.679 
 2000.05.03.19.33.34.953    17    0.627 
 2000.05.03.19.33.47.154    18    0.556 
 2000.05.03.19.33.59.394    19    0.476 
 2000.05.03.19.34.11.573    20    0.394 
 2000.05.03.19.34.23.758    21    0.311 
