**************************************************************************************************************
*****                             MOLLER MEASUREMENT DATA SUMMARY                                        *****
**************************************************************************************************************
* MN     - measurement number
* TG     - target number
* runNN  - run number
* TP     run type 1-measurement in point, 2-transverse scan, 3-longitudinal scan
* p-bg   - substracted accidental background
* p+bg   - no substraction of accidental background
* err    - statistical error +/-
* av-bg  - averaged polarization for substracted bg
* av+bg  - averaged polarization without bg substraction
* err    - statistical error
* hi2    - hi2/ndf
* Xenc   - transverce foil coordinate (by encoder) range:RightLimit=0.65 LeftLimit=3.81
* Yenc   - longitudinal foil coordinate (by encoder) 
*          Y range: top=0.4 center=1.40 bottom=2.56  top-bottom=55mm
* BOP    - BOP current (1/2 of a real current), Amp
* T.Pol  - target polarization
* date   - date of measurement
*** Target number       1(old)       2       3       4       5       6
*** Target material     S-Mend     S-Mend    Fe      Fe     S-Mend   Al
*** Target thickness    13.4        29.4     14.3    9.3      6.8
******************************************************************************************
*MN TG runNN TP p-bg    p+bg   err  av-bg    av+bg    err  hi2   Xenc  Yenc BOP T.Pol date 
******************************************************************************************
*******************************          YEAR 2005          ******************************
*** Beam current = 0.36 uAmp Fast raster is OFF
*** Runs 11745 - 11756  --  New target test run                                     06.16
******************************************************************************************
002 4 11842 1  85.97   86.16  0.58  -86.19  -86.39  0.29  0.9  1.678  1.020 6.3 7.23 08.10
*** Target 4 shifted along foil for -1cm
002 4 11843 1 -85.85  -85.98  0.53    0       0      0     0   1.678  1.020 9.9 7.64 08.10
002 4 11844 1  85.94   86.01  0.55    0       0      0     0   1.678  1.020 9.9 7.64 08.10
002 4 11845 1 -85.15  -85.27  0.54    0       0      0     0   1.678  1.020 9.9 7.64 08.10
002 4 11846 1  84.91   85.09  0.54  -85.46  -85.59  0.27  0.9  1.678  1.020 9.9 7.64 08.10
*** Target 4 shifted along foil for 1cm
002 4 11847 1 -86.49  -86.62  0.55    0       0      0     0   1.678  1.768 9.9 7.49 08.10
002 4 11848 1  86.65   86.84  0.54    0       0      0     0   1.678  1.768 9.9 7.49 08.10
002 4 11849 1 -85.20  -85.39  0.54    0       0      0     0   1.678  1.768 9.9 7.49 08.10
002 4 11850 1  87.06   87.23  0.54  -86.35  -86.52  0.27  2.1  1.678  1.768 9.9 7.49 08.10
*** Target 4 shifted along foil for 2cm
002 4 11851 1 -85.89  -86.04  0.53    0       0      0     0   1.678  2.132 9.9 7.50 08.10
002 4 11852 1  86.26   86.44  0.54    0       0      0     0   1.678  2.132 9.9 7.48 08.10
002 4 11853 1 -85.73  -85.88  0.53    0       0      0     0   1.678  2.132 9.9 7.48 08.10
002 4 11854 1  86.42   86.65  0.54  -86.08  -86.25  0.26  0.3  1.678  2.132 9.9 7.47 08.10
*** Target 4 shifted along foil  for 2cm
002 4 11855 1 -84.60  -84.76  0.56    0       0      0     0   1.678  2.132 6.3 7.03 08.10
002 4 11856 1  87.23   87.37  0.56    0       0      0     0   1.678  2.132 6.3 7.03 08.10
002 4 11857 1 -85.51  -85.67  0.62    0       0      0     0   1.678  2.132 6.3 7.03 08.10
002 4 11858 1  86.39   86.59  0.56  -85.93  -86.10  0.29  3.8  1.678  2.132 6.3 7.03 08.10
*** Target 4 shifted along foil  for -2cm  (51mm on line in camera)
002 4 11859 1 -83.99  -84.24  0.59    0       0      0     0   1.680  0.652 6.3 7.28 08.10
002 4 11860 1  85.07   85.31  0.57    0       0      0     0   1.680  0.652 6.3 7.28 08.10
002 4 11861 1 -84.66  -84.91  0.56    0       0      0     0   1.680  0.652 6.3 7.27 08.10
002 4 11862 1  85.19   85.29  0.57  -84.72  -84.94  0.29  1.0  1.680  0.652 6.3 7.28 08.10
*** Target 4 shifted along foil  for -2cm  (51mm on line in camera) 
002 4 11863 1 -85.27  -85.43  0.56    0       0      0     0   1.680  0.652 8.0 7.51 08.10
002 4 11864 1  85.60   85.73  0.56    0       0      0     0   1.680  0.652 8.0 7.51 08.10
002 4 11865 1 -84.64  -84.79  0.60    0       0      0     0   1.680  0.652 8.0 7.51 08.10
002 4 11866 1  84.49   84.59  0.55  -85.00  -85.13  0.28  0.9  1.680  0.652 8.0 7.51 08.10
*** Target 5 at center
002 5 11867 1 -87.60  -87.72  0.60    0       0      0     0   1.038  1.390 8.0 7.97 08.10
002 5 11868 1  86.81   86.98  0.59    0       0      0     0   1.038  1.390 8.0 7.97 08.10
002 5 11869 1 -86.49  -86.67  0.58    0       0      0     0   1.038  1.390 8.0 7.97 08.10
002 5 11870 1  87.42   87.53  0.60  -87.08  -87.22  0.29  0.8  1.038  1.390 8.0 7.97 08.10
*** Target 5 at center
002 5 11871 1 -86.98  -87.03  0.58    0       0      0     0   1.038  1.390 6.3 7.90 08.10
002 5 11872 1  86.14   86.28  0.59    0       0      0     0   1.038  1.390 6.3 7.91 08.10
002 5 11873 1 -85.68  -85.72  0.59    0       0      0     0   1.038  1.390 6.3 7.91 08.10
002 5 11874 1  88.05   88.20  0.59  -86.71  -86.81  0.29  3.1  1.038  1.390 6.3 7.90 08.10
*** Target 5 at center
002 5 11875 1 -86.30  -86.45  0.59    0       0      0     0   1.038  1.390 9.9 8.00 08.10
002 5 11876 1  87.48   87.54  0.58    0       0      0     0   1.038  1.390 9.9 8.00 08.10
002 5 11877 1 -86.36  -86.53  0.60    0       0      0     0   1.038  1.390 9.9 8.01 08.10
002 5 11878 1  86.26   86.42  0.58  -86.60  -86.74  0.29  1.0  1.038  1.390 9.9 8.00 08.10
*** Target 1 at center
002 1 11879 1 -87.64  -87.99  0.34    0       0      0     0   3.575  1.390 6.3 7.95 08.10
002 1 11880 1  87.63   88.02  0.35    0       0      0     0   3.575  1.390 6.3 7.95 08.10
002 1 11881 1 -88.62  -88.99  0.35    0       0      0     0   3.575  1.390 6.3 7.95 08.10
002 1 11882 1  87.84   88.26  0.35  -87.94  -88.31  0.17  1.8  3.575  1.390 6.3 7.95 08.10
*** Target 1 at center
