* April 3, 2010
 14286. 16.288 -0.0007447  -1.2129   2.1242
 14287. 16.288 -0.0453231 -73.8223   0.3920
 14288. 16.288 -0.0456580 -74.3678   0.3905
 14289. 16.288 -0.0455074 -74.1225   0.3903
 14290. 16.288 -0.0456593 -74.3699   0.3906
 14291. 16.288 -0.0501950 -81.7576   0.3998
 14292. 16.288 -0.0510193 -83.1002   1.6012
 14293. 16.288 -0.0498365 -81.1737   0.4586
 14294. 16.288 -0.0507902 -82.7271   0.3979
 14295. 16.288 -0.0504165 -82.1184   0.4782
 14296. 16.288 -0.0519382 -84.5969   1.2872
 14297. 16.288 -0.0504594 -82.1883   0.4013
 14298. 16.288 -0.0499837 -81.4135   0.4244
 14299. 16.288  0.0000375   0.0611   0.4046
 14300. 16.288  0.0009563   1.5577   0.4024
 14301. 16.288  0.0009484   1.5448   0.4024
 14302. 16.288  0.0008594   1.3998   0.4027
 14303. 16.288  0.0014052   2.2887   0.8064
 14304. 16.288 -0.0543478 -88.5217   0.4026
 14305. 16.288 -0.0542765 -88.4056   0.4028
 14306. 16.288 -0.0546813 -89.0649   0.4038
 14307. 16.288 -0.0545014 -88.7719   0.4082
*******************
* April 17
* Target 1
*89.13   89.79   88.25   88.73   87.91   88.52
*89.3125 89.8115 88.3642 89.0812 88.0239 88.8105
*0.73  0.73  0.64  0.64  0.74  0.74
* Target 2
*89.97   88.40  89.42   89.08   89.80   89.47
*90.088 88.5261 89.5107 89.0452 90.1598 89.4271
*0.68  0.68  0.67  0.67  0.67  0.67
* Target 3
*90.76   89.20    91.16   89.25
*90.6479 89.1444  90.9454 89.2592
*0.52  0.53  0.58  0.58
* Target 4 
*90.90   89.71  89.68   90.55
*90.8211 89.87  89.7164 90.5569
*0.61 0.62 0.62 0.61
 14316. 16.288  0.0548333  89.3125   0.7273
 14315. 16.288  0.0000000   0.0000   0.0000
 14316. 16.288  0.0548333  89.3125   0.7273
 14317. 16.288  0.0551397  89.8115   0.7302
 14318. 16.288  0.0542511  88.3642   0.6359
 14319. 16.288  0.0546913  89.0812   0.6374
 14320. 16.288  0.0540422  88.0239   0.7416
 14321. 16.288  0.0545251  88.8105   0.7422
 14322. 16.288  0.0553094  90.0880   0.6752
 14323. 16.288  0.0543505  88.5261   0.6756
 14324. 16.288  0.0546121  88.9522   0.6804
 14325. 16.288  0.0545689  88.8818   1.1941
 14326. 16.288  0.0586182  95.4773   4.1735
 14327. 16.288  0.0549550  89.5107   0.6700
 14328. 16.288  0.0546692  89.0452   0.6691
 14329. 16.288  0.0553535  90.1598   0.6683
 14330. 16.288  0.0549037  89.4271   0.6667
 14316. 16.288  0.0548333  89.3125   0.7273
 14316. 16.288  0.0548333  89.3125   0.7273
 14331. 16.288  0.0556532  90.6479   0.5215
 14332. 16.288  0.0547301  89.1444   0.5306
 14333. 16.288  0.0558358  90.9454   0.5790
 14334. 16.288  0.0548006  89.2592   0.5739
 14335. 16.288  0.0557595  90.8211   0.6130
 14336. 16.288  0.0551756  89.8700   0.6201
 14337. 16.288  0.0550813  89.7164   0.6209
 14338. 16.288  0.0555973  90.5569   0.6150
 14316. 16.288  0.0548333  89.3125   0.7273
 14317. 16.288  0.0551397  89.8115   0.7302
 14318. 16.288  0.0542511  88.3642   0.6359
 14319. 16.288  0.0546913  89.0812   0.6374
 14320. 16.288  0.0540422  88.0239   0.7416
 14321. 16.288  0.0545251  88.8105   0.7422
 14322. 16.288  0.0553094  90.0880   0.6752
 14323. 16.288  0.0543505  88.5261   0.6756
 14324. 16.288  0.0546121  88.9522   0.6804
 14325. 16.288  0.0545689  88.8818   1.1941
 14326. 16.288  0.0586182  95.4773   4.1735
 14327. 16.288  0.0549550  89.5107   0.6700
 14328. 16.288  0.0546692  89.0452   0.6691
 14329. 16.288  0.0553535  90.1598   0.6683
 14330. 16.288  0.0549037  89.4271   0.6667
 14331. 16.288  0.0556532  90.6479   0.5215
 14332. 16.288  0.0547301  89.1444   0.5306
 14333. 16.288  0.0558358  90.9454   0.5790
 14334. 16.288  0.0548006  89.2592   0.5739
 14335. 16.288  0.0557595  90.8211   0.6130
 14336. 16.288  0.0551756  89.8700   0.6201
 14337. 16.288  0.0550813  89.7164   0.6209
 14338. 16.288  0.0555973  90.5569   0.6150
 14339. 16.288  0.0140617  22.9037   0.0000
 14340. 16.288  0.0203212  33.0992   0.0000
 14341. 16.288  0.0224286  36.5317   0.0000
 14342. 16.288  0.0375227  61.1170   3.1542
 14343. 16.288  0.0492029  80.1417   0.0000
 14344. 16.288  0.0402481  65.5561   2.8229
 14345. 16.288  0.0418913  68.2325   1.5385
 14346. 16.288  0.0464776  75.7027   2.1770
 14347. 16.288  0.0492029  80.1417   2.6912
***************
*** April 22,2010
 14357. 16.288  0.0000000  0.0000000   0.0000  10.4412
 14358. 16.288  0.0000000  0.0000000   0.0000  10.0449
 14359. 16.288  0.0000000  0.0000000   0.0000   0.0000
 14360. 16.288  0.0000000  0.0000000   0.0000   0.0000
 14361. 16.288  0.0070359  0.0022947 -11.4600   8.8458
 14362. 16.288  0.0063283  0.0073061 -10.3076  10.2272
 14363. 16.288  0.0074550  0.0000808 -12.1428  12.1521
 14364. 16.288  0.0085340  0.0077757 -13.9002  11.5558
 14365. 16.288 -0.0001222 -0.0003756   0.1990   2.3400
