 
          Moller measurements: rates/sec and asymmetries
  run    Left   Right Coinc. Accid.    BCM  Clock      Raw.Asymm          Polarization     angl An.Pow Pol.Targ   Polarization L/R    Asym BCM    coil
13443  187342  143079  56705   488.  15271. 101149  -0.0456+/- 0.0003  -0.7985+/- 0.0048    20.5  0.760  0.0802  -0.5005  -0.5507  0.00022 0.00076-15.9
13444  194578  155639  59910   549.  16651. 101151   0.0447+/- 0.0003   0.7821+/- 0.0046    20.5  0.760  0.0803   0.4991   0.5365  0.00015 0.00054 15.4
13445  165068  127505  49508   390.  13848. 101154  -0.0458+/- 0.0003  -0.8009+/- 0.0052    20.5  0.760  0.0803  -0.5059  -0.5529 -0.00157 0.00176-15.9
13446  133189  106697  40713   305.  11454. 101154   0.0455+/- 0.0003   0.7963+/- 0.0061    20.5  0.760  0.0802   0.5022   0.5445 -0.00250 0.00523 15.4
13448  206168  168409  63938   650.  13805. 101152   0.0414+/- 0.0003   0.7764+/- 0.0048    20.5  0.760  0.0750   0.5007   0.5314  0.00036 0.00219 15.4
13449  214034  170511  65793   661.  14191. 101150  -0.0417+/- 0.0003  -0.7786+/- 0.0047    20.5  0.760  0.0753  -0.4972  -0.5395  0.00001 0.00064-15.9
13450  208666  168233  64228   635.  13858. 101149   0.0415+/- 0.0003   0.7773+/- 0.0048    20.5  0.760  0.0750   0.4929   0.5334  0.00019 0.00050 15.4
13451  200817  156562  60842   568.  13106. 101154  -0.0416+/- 0.0003  -0.7767+/- 0.0049    20.5  0.760  0.0753  -0.4940  -0.5349  0.00030 0.00056-15.9
13453  218295  166234  65353   665.   8538. 101196  -0.0435+/- 0.0003  -0.8073+/- 0.0046    20.5  0.760  0.0757  -0.5008  -0.5529 -0.00016 0.00054-15.9
13454  218364  172472  66698   690.   8749. 101201   0.0429+/- 0.0002   0.7981+/- 0.0046    20.5  0.760  0.0755   0.4959   0.5455 -0.00012 0.00059 15.4
13455  224479  170736  67239   698.   8780. 101201  -0.0428+/- 0.0002  -0.7934+/- 0.0046    20.5  0.760  0.0757  -0.4966  -0.5469  0.00013 0.00060-15.9
13456  211215  166115  64142   642.   8411. 101199   0.0430+/- 0.0003   0.8012+/- 0.0047    20.5  0.760  0.0755   0.5038   0.5478  0.00001 0.00085 15.4
13457  229119  174141  68555   730.   8999. 101197  -0.0436+/- 0.0002  -0.8085+/- 0.0046    20.5  0.760  0.0757  -0.5009  -0.5550  0.00026 0.00063-15.9
13459  313267  234845  90451  1337.   5690. 101178  -0.0461+/- 0.0002  -0.7879+/- 0.0037    20.5  0.760  0.0822  -0.4741  -0.5271  0.00013 0.00063-15.9
13460  300488  232104  87795  1265.   5530. 101177   0.0461+/- 0.0002   0.7894+/- 0.0037    20.5  0.760  0.0821   0.4812   0.5293  0.00014 0.00054 15.4
13461  300758  223617  86216  1224.   5428. 101173  -0.0457+/- 0.0002  -0.7807+/- 0.0038    20.5  0.760  0.0822  -0.4723  -0.5275  0.00016 0.00047-15.9
13462  261561  202636  76179   969.   4813. 101172   0.0458+/- 0.0002   0.7847+/- 0.0040    20.5  0.760  0.0821   0.4815   0.5245  0.00029 0.00062 15.4
