 
          Moller measurements: rates/sec and asymmetries
  run    Left   Right Coinc. Accid.    BCM  Clock      Raw.Asymm          Polarization     angl An.Pow Pol.Targ   Polarization L/R    Asym BCM    coil
13015  111823   92062  37349   166.  10849. 101674  -0.0448+/- 0.0003  -0.7867+/- 0.0054    20.0  0.760  0.0797  -0.5341  -0.5591  0.00032 0.00008 15.4
13016  110042   88148  36053   157.  10557. 101679   0.0459+/- 0.0003   0.8067+/- 0.0051    20.0  0.760  0.0797   0.5362   0.5630  0.00028 0.00011-15.9
13017  107420   89662  36158   157.  10528. 101694  -0.0455+/- 0.0003  -0.7989+/- 0.0061    20.0  0.760  0.0797  -0.5316  -0.5628  0.00021 0.00012 15.4
13018  106278   86445  35147   149.  10267. 101685   0.0455+/- 0.0003   0.7994+/- 0.0052    20.0  0.760  0.0797   0.5339   0.5612  0.00044 0.00011-15.9
13019  139832  111882  45795   256.  10187. 101695  -0.0429+/- 0.0003  -0.8072+/- 0.0064    20.0  0.760  0.0744  -0.5389  -0.5693  0.00025 0.00015 15.4
13020  139784  111576  45945   251.  10139. 101685   0.0427+/- 0.0003   0.8035+/- 0.0063    20.0  0.760  0.0744   0.5316   0.5645  0.00031 0.00007-15.9
13021  135417  111973  45300   245.   9988. 101672  -0.0422+/- 0.0003  -0.7937+/- 0.0064    20.0  0.760  0.0744  -0.5359  -0.5654  0.00042 0.00024 15.4
13022  136653  110915  45403   247.   9951. 101658   0.0420+/- 0.0003   0.7913+/- 0.0061    20.0  0.760  0.0744   0.5303   0.5569  0.00029 0.00016-15.9
13023  208542  179134  71489   605.   9847. 101676  -0.0410+/- 0.0003  -0.7539+/- 0.0053    20.0  0.760  0.0762  -0.5074  -0.5313  0.00039 0.00013 15.4
13024  216717  172012  70854   603.   9883. 101683   0.0423+/- 0.0003   0.7765+/- 0.0054    20.0  0.760  0.0762   0.5119   0.5503  0.00038 0.00014-15.9
13025  213763  172895  70286   595.   9828. 101672  -0.0417+/- 0.0003  -0.7654+/- 0.0048    20.0  0.760  0.0762  -0.5095  -0.5410  0.00035 0.00010 15.4
13026  217350  169670  69954   595.   9835. 101665   0.0419+/- 0.0003   0.7693+/- 0.0054    20.0  0.760  0.0762   0.5080   0.5367  0.00030 0.00014-15.9
13027  452744  369595 147906  2667.   9678. 101663  -0.0470+/- 0.0002  -0.8013+/- 0.0038    20.0  0.760  0.0821  -0.5169  -0.5489  0.00036 0.00016 15.4
13028  490516  386681 157354  3044.  10357. 101668   0.0461+/- 0.0002   0.7860+/- 0.0038    20.0  0.760  0.0821   0.5104   0.5447  0.00016 0.00090-15.9
13029  521418  437541 174876  3652.  11398. 101678  -0.0466+/- 0.0002  -0.7948+/- 0.0028    20.0  0.760  0.0821  -0.5172  -0.5437  0.00038 0.00009 15.4
13030  533720  434067 175801  3697.  11496. 101677   0.0463+/- 0.0002   0.7895+/- 0.0033    20.0  0.760  0.0821   0.5099   0.5438  0.00028 0.00012-15.9
13031  178645  158503  63140   460.  19216. 101659  -0.0453+/- 0.0003  -0.7952+/- 0.0056    20.0  0.760  0.0797  -0.5358  -0.5582  0.00034 0.00010 15.4
13032  183013  152773  61857   457.  19111. 101661   0.0450+/- 0.0003   0.7913+/- 0.0052    20.0  0.760  0.0797   0.5259   0.5602  0.00024 0.00017-15.9
13033  178928  152983  61710   444.  18894. 101679  -0.0452+/- 0.0003  -0.7936+/- 0.0053    20.0  0.760  0.0797  -0.5311  -0.5550  0.00034 0.00013 15.4
