 
          Moller measurements: rates/sec and asymmetries
  run    Left   Right Coinc. Accid.    BCM  Clock      Raw.Asymm          Polarization     angl An.Pow Pol.Targ   Polarization L/R    Asym BCM    coil
13414  195013  115361  49206   403.  15637. 101207   0.0460+/- 0.0003   0.8053+/- 0.0051    20.5  0.760  0.0803   0.4690   0.5692  0.00015 0.00033 15.4
13415  201313  116551  49883   430.  15945. 101208  -0.0459+/- 0.0004  -0.8030+/- 0.0063    20.5  0.760  0.0803  -0.4599  -0.5620  0.00000 0.00032-15.9
13416  185580  112893  46754   377.  15592. 101207   0.0460+/- 0.0003   0.8048+/- 0.0052    20.5  0.760  0.0803   0.4745   0.5708  0.00012 0.00037 15.4
13417  186930  109915  46059   373.  15460. 101202  -0.0462+/- 0.0003  -0.8086+/- 0.0053    20.5  0.760  0.0803  -0.4712  -0.5761  0.00025 0.00036-15.9
13418  171127  104790  43239   326.  14289. 101202   0.0463+/- 0.0003   0.8106+/- 0.0055    20.5  0.760  0.0803   0.4753   0.5707 -0.00018 0.00042 15.4
13419  178175  105517  44085   338.  14685. 101198  -0.0461+/- 0.0003  -0.8068+/- 0.0056    20.5  0.760  0.0803  -0.4726  -0.5677 -0.00012 0.00045-15.9
13421  180924  108810  45028   374.  14744. 101192  -0.0463+/- 0.0003  -0.8101+/- 0.0057    20.5  0.760  0.0803  -0.4675  -0.5695  0.00009 0.00041-15.9
13425  200923  110476  48019   424.  16352. 101190  -0.0447+/- 0.0003  -0.7830+/- 0.0056    20.5  0.760  0.0803  -0.4551  -0.5689  0.00036 0.00061-15.9
13426  196608  112990  48413   426.  16101. 101189   0.0444+/- 0.0003   0.7760+/- 0.0052    20.5  0.760  0.0803   0.4433   0.5511  0.00007 0.00048 15.3
13427  181391  100807  43425   355.  14886. 101184  -0.0453+/- 0.0003  -0.7936+/- 0.0056    20.5  0.760  0.0803  -0.4529  -0.5600  0.00025 0.00047-15.9
13429  304220  174089  75416   944.  17959. 101176  -0.0419+/- 0.0002  -0.7818+/- 0.0044    20.5  0.760  0.0753  -0.4502  -0.5538  0.00011 0.00051-15.9
13430  292180  173271  73903   906.  17462. 101181   0.0414+/- 0.0002   0.7760+/- 0.0044    20.5  0.760  0.0749   0.4559   0.5531 -0.00006 0.00061 15.4
13431  264880  151851  65341   721.  15476. 101186  -0.0420+/- 0.0003  -0.7842+/- 0.0047    20.5  0.760  0.0753  -0.4516  -0.5573  0.00028 0.00034-15.9
13432  257860  153652  65131   712.  15293. 101195   0.0415+/- 0.0003   0.7783+/- 0.0047    20.5  0.760  0.0750   0.4582   0.5559  0.00009 0.00037 15.4
13433  258768  149487  63925   696.  15187. 101205  -0.0422+/- 0.0003  -0.7869+/- 0.0048    20.5  0.760  0.0753  -0.4588  -0.5576  0.00027 0.00034-15.9
13434  261088  156290  65692   745.  15870. 101209   0.0415+/- 0.0003   0.7785+/- 0.0050    20.5  0.760  0.0750   0.4569   0.5542  0.00034 0.00055 15.4
13435  245443  141479  60163   631.  14596. 101208  -0.0415+/- 0.0004  -0.7736+/- 0.0072    20.5  0.760  0.0753  -0.4455  -0.5581  0.00018 0.00062-15.9
13437  280751  163569  69866   829.  16826. 101195  -0.0421+/- 0.0003  -0.7866+/- 0.0048    20.5  0.760  0.0753  -0.4574  -0.5579 -0.00009 0.00065-15.9
13438  277839  167899  70747   842.  16823. 101191   0.0419+/- 0.0002   0.7845+/- 0.0046    20.5  0.760  0.0750   0.4652   0.5607  0.00002 0.00043 15.4
