 
          Moller measurements: rates/sec and asymmetries
  run    Left   Right Coinc. Accid.    BCM  Clock      Raw.Asymm          Polarization     angl An.Pow Pol.Targ   Polarization L/R    Asym BCM    coil
13192  216719  168764  68006   657.  20254. 101986   0.0405+/- 0.0006   0.7179+/- 0.0102    20.5  0.760  0.0793   0.4787   0.5082  0.00022 0.00032 15.4
13193  191848  154188  57331   476.  20087. 101992  -0.0423+/- 0.0003  -0.7400+/- 0.0047    20.5  0.760  0.0803  -0.4901  -0.5287  0.00033 0.00016-15.9
13194  195054  197685  58483  1117.  20187. 101979   0.0427+/- 0.0003   0.7464+/- 0.0049    20.5  0.760  0.0803   0.4658   0.4640  0.00034 0.00020 15.4
13195  178892  171417  57438   500.  20141. 101990  -0.0428+/- 0.0003  -0.7489+/- 0.0047    20.5  0.760  0.0803  -0.5030  -0.5158  0.00030 0.00015-15.9
13196  172119  170693  56883   474.  20011. 101986   0.0421+/- 0.0003   0.7355+/- 0.0047    20.5  0.760  0.0803   0.4987   0.5076  0.00039 0.00013 15.4
13197  230102  218625  75133   815.  19890. 101989  -0.0388+/- 0.0002  -0.7236+/- 0.0044    20.5  0.760  0.0753  -0.4891  -0.5079  0.00027 0.00013-15.9
13198  226702  221421  74478   815.  19908. 101979   0.0392+/- 0.0002   0.7341+/- 0.0045    20.5  0.760  0.0749   0.4956   0.5119  0.00031 0.00012 15.4
13199  232278  219773  75475   826.  20041. 101984  -0.0391+/- 0.0002  -0.7293+/- 0.0044    20.5  0.760  0.0753  -0.4885  -0.5096  0.00026 0.00013-15.9
13200  227406  221437  74798   819.  19915. 101977   0.0393+/- 0.0002   0.7360+/- 0.0044    20.5  0.760  0.0749   0.5014   0.5147  0.00018 0.00011 15.4
13201  219850  208996  70844   746.  24867. 101984  -0.0432+/- 0.0002  -0.7553+/- 0.0043    20.5  0.760  0.0803  -0.5045  -0.5260  0.00009 0.00016-15.9
13202  217454  214895  71171   758.  25163. 101972   0.0431+/- 0.0002   0.7544+/- 0.0043    20.5  0.760  0.0802   0.5097   0.5199  0.00029 0.00017 15.4
13203  219269  212038  71457   754.  24966. 101976  -0.0421+/- 0.0002  -0.7365+/- 0.0042    20.5  0.760  0.0803  -0.5025  -0.5167  0.00027 0.00013-15.9
13204  212769  213193  70256   735.  24705. 101987   0.0427+/- 0.0002   0.7466+/- 0.0043    20.5  0.760  0.0803   0.5026   0.5159  0.00023 0.00013 15.4
13206  275071  274308  91237  1218.  24939. 101985   0.0397+/- 0.0002   0.7446+/- 0.0040    20.5  0.760  0.0749   0.5081   0.5164  0.00024 0.00015 15.4
13207  280857  268490  91141  1220.  24897. 101985  -0.0398+/- 0.0002  -0.7427+/- 0.0040    20.5  0.760  0.0753  -0.5036  -0.5172  0.00023 0.00013-15.9
13208  275876  270078  90044  1203.  24726. 101981   0.0395+/- 0.0002   0.7412+/- 0.0040    20.5  0.760  0.0749   0.5041   0.5161  0.00028 0.00014 15.4
13209  279061  266938  90583  1201.  24644. 101973  -0.0397+/- 0.0002  -0.7410+/- 0.0040    20.5  0.760  0.0753  -0.5024  -0.5180  0.00021 0.00014-15.9
