 
          Moller measurements: rates/sec and asymmetries
  run    Left   Right Coinc. Accid.    BCM  Clock      Raw.Asymm          Polarization     angl An.Pow Pol.Targ   Polarization L/R    Asym BCM    coil
13149     224     600     30     0.  16733. 101830   0.0000+/- 0.0000   0.0000+/- 0.0000    20.5  0.760  0.0801   0.0000   0.0000  0.00000 0.00000-15.9
13150  395876  351548  42141  2421.  16695. 101815   0.0434+/- 0.0010   0.7597+/- 0.0172    20.5  0.760  0.0802   0.3009   0.3205  0.00009 0.00024 15.3
13151  483058  341909  58395  2839.  16769. 101841  -0.0410+/- 0.0007  -0.7182+/- 0.0128    20.5  0.760  0.0802  -0.2827  -0.3252  0.00021 0.00014-15.9
13152  355806  289091  49063  1826.  16831. 101842   0.0418+/- 0.0003   0.7318+/- 0.0053    20.5  0.760  0.0802   0.3354   0.3447  0.00020 0.00006 15.3
13153  366628  282266  49507  1818.  16840. 101835  -0.0417+/- 0.0003  -0.7298+/- 0.0046    20.5  0.760  0.0802  -0.3265  -0.3751  0.00026 0.00006-15.9
13154  350754  284459  46977  1740.  16742. 101834   0.0406+/- 0.0004   0.7102+/- 0.0065    20.5  0.760  0.0802   0.2808   0.2894 -0.00063 0.00805 15.4
13155  288720  222806  38779  1556.  12826. 101834  -0.0415+/- 0.0004  -0.7280+/- 0.0066    20.5  0.760  0.0802  -0.3117  -0.3692  0.00019 0.00671-15.9
13156  278194  266745  35813  1304.  18063. 101815   0.0422+/- 0.0008   0.7388+/- 0.0147    20.5  0.760  0.0803   0.3431   0.3723  0.00013 0.00012 15.3
13157  194435  222201  17464  1234.  12673. 101841  -0.0391+/- 0.0008  -0.6849+/- 0.0149    20.5  0.760  0.0802  -0.3098  -0.3565  0.00134 0.01035-15.9
13158  387593  279197  50024  1898.  16965. 101843   0.0409+/- 0.0007   0.7159+/- 0.0128    20.5  0.760  0.0803   0.3217   0.3724  0.00012 0.00017 15.3
13159  381098  297249  50139  2367.  17047. 101827  -0.0414+/- 0.0007  -0.7255+/- 0.0119    20.5  0.760  0.0802  -0.3595  -0.4038  0.00013 0.00012-15.9
13160  367497  299381  49931  2078.  17088. 101820   0.0415+/- 0.0003   0.7273+/- 0.0054    20.5  0.760  0.0802   0.3260   0.3361  0.00012 0.00011 15.3
13161  375443  289619  50051  1999.  16989. 101823  -0.0413+/- 0.0003  -0.7221+/- 0.0053    20.5  0.760  0.0803  -0.3218  -0.3595  0.00022 0.00007-15.9
13162  498897  404414  70527  3507.  17081. 101835   0.0380+/- 0.0003   0.7129+/- 0.0050    20.5  0.760  0.0749   0.3334   0.3541  0.00017 0.00008 15.3
13163  506743  390148  69226  3437.  16960. 101822  -0.0386+/- 0.0003  -0.7203+/- 0.0048    20.5  0.760  0.0753  -0.3277  -0.3594  0.00022 0.00006-15.9
13164  493511  399617  69180  3431.  16968. 101830   0.0378+/- 0.0003   0.7088+/- 0.0051    20.5  0.760  0.0749   0.3369   0.3500  0.00020 0.00006 15.4
13165  512802  395675  70900  3543.  17062. 101836  -0.0388+/- 0.0003  -0.7234+/- 0.0048    20.5  0.760  0.0753  -0.3236  -0.3615  0.00018 0.00007-15.9
13166 1348096 1110864 184882 25296.  12379. 101849   0.0416+/- 0.0002   0.7107+/- 0.0040    20.5  0.760  0.0822   0.3030   0.3278  0.00020 0.00005 15.3
13167 1412874 1102057 186451 26770.  12327. 101835  -0.0413+/- 0.0003  -0.7058+/- 0.0044    20.5  0.760  0.0822  -0.2723  -0.3044  0.00019 0.00009-15.9
13168  747463  625883  99299 16444.   6494. 101828   0.0411+/- 0.0004   0.7039+/- 0.0064    20.5  0.760  0.0821   0.2757   0.2865 -0.00542 0.01519 15.3
13169 1392863 1084107 184816 25611.  12309. 101829  -0.0415+/- 0.0002  -0.7093+/- 0.0041    20.5  0.760  0.0821  -0.3046  -0.3429  0.00024 0.00012-15.9
13170 1324712 1089580 181383 24173.  12211. 101817   0.0414+/- 0.0003   0.7075+/- 0.0043    20.5  0.760  0.0822   0.3126   0.3415  0.00019 0.00005 15.3
