 
          Moller measurements: rates/sec and asymmetries
  run    Left   Right Coinc. Accid.    BCM  Clock      Raw.Asymm          Polarization     angl An.Pow Pol.Targ   Polarization L/R    Asym BCM    coil
13054  169302  111629  49658   335.  13531. 101742  -0.0456+/- 0.0003  -0.8008+/- 0.0061    20.0  0.760  0.0797  -0.4946  -0.5425  0.00016 0.00007-15.9
13055  137538   99576  40117   219.  13692. 101740   0.0463+/- 0.0003   0.8127+/- 0.0048    20.0  0.760  0.0797   0.5346   0.5800  0.00019 0.00005 15.4
13056  138277   96202  38887   212.  13517. 101753  -0.0466+/- 0.0003  -0.8187+/- 0.0049    20.0  0.760  0.0797  -0.5413  -0.5856  0.00015 0.00005-15.9
13057  135468   97555  39392   211.  13472. 101745   0.0474+/- 0.0003   0.8335+/- 0.0050    20.0  0.760  0.0797   0.5493   0.5892  0.00023 0.00009 15.4
13058  138452   96345  39421   212.  13601. 101733  -0.0458+/- 0.0003  -0.8041+/- 0.0049    20.0  0.760  0.0797  -0.5372  -0.5766  0.00017 0.00006-15.9
13059  184886  131609  55078   388.  19026. 101725   0.0465+/- 0.0003   0.8168+/- 0.0048    20.0  0.760  0.0797   0.5406   0.5741  0.00006 0.00009 15.4
13060  185567  128354  54208   380.  18907. 101741  -0.0458+/- 0.0003  -0.8046+/- 0.0048    20.0  0.760  0.0797  -0.5265  -0.5738  0.00014 0.00005-15.9
13061  185655  132818  56416   395.  19165. 101736   0.0517+/- 0.0003   0.9076+/- 0.0048    20.0  0.760  0.0797   0.6003   0.6437  0.00013 0.00007 15.4
13062  189826  130723  55690   397.  19229. 101762  -0.0514+/- 0.0003  -0.9029+/- 0.0049    20.0  0.760  0.0797  -0.5993  -0.6464  0.00045 0.00024-15.9
13063  186459  132375  55838   395.  19065. 101759   0.0519+/- 0.0003   0.9111+/- 0.0050    20.0  0.760  0.0797   0.5960   0.6456  0.00007 0.00013 15.4
13064  188330  129727  55043   388.  18995. 101746  -0.0519+/- 0.0003  -0.9126+/- 0.0048    20.0  0.760  0.0797  -0.6015  -0.6491  0.00022 0.00011-15.9
13065  184221  130934  55215   387.  18779. 101737   0.0501+/- 0.0003   0.8810+/- 0.0048    20.0  0.760  0.0797   0.5853   0.6311  0.00004 0.00010 15.4
