 5 20  9  6510  6515  160.7   68.1  0.22  158.2   69.2  0.25  0.6  0.392  75.0   500  15.00  1  1  1  -9   68.1 
 5 20 11  6527  6532   22.0   68.9  0.21   18.8   67.5  0.21  0.7  0.452  75.0   500  15.25  1  1  0  -9   69.3 
 5 20 11  6519  6524  160.7   65.6  0.24  158.2   66.6  0.24  0.5  0.381  75.0   500  15.00  1  0  0  -9   65.8 
 5 22 20  6538  6543   22.0   69.9  0.25   18.8   68.5  0.25  0.7  0.415  75.0   500  16.10  1  1  1  -9   70.3 
 5 22 20  6546  6551  160.7   66.9  0.26  158.4   68.2  0.26  1.2  0.388  75.0   500  16.10  1  1  1  -9   65.8 
 5 25  9  6558  6565   22.0  -69.0  0.28   18.9  -67.6  0.28  0.3  0.319  75.0   500  15.99  0  1  1  -9  -68.9 
 5 25  9  6568  6573  160.7  -64.9  0.30  158.3  -65.9  0.30  1.6  0.339  75.0   500  15.99  0  1  1  -9  -63.7 
 5 26  9  6648  6653   22.0   68.0  0.19   19.1   66.7  0.28  1.3  0.501  75.0   500  17.30  1  1  1  -9   68.2 
 5 26  9  6656  6661  160.7   64.0  0.24  158.3   65.0  0.24  1.4  0.420  75.0   500  17.30  1  1  1  -9   63.3 
 5 27  9  6885  6890   22.0   72.3  0.22   18.6   70.7  0.22  0.7  0.441  75.0   500  15.40  1  1  1   9  -72.1 
 5 27  9  6893  6898  160.7   68.8  0.24  157.6   70.2  0.24  1.5  0.445  75.0   500  15.40  1  1  1   9  -69.4 
